run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET AIRLINE COMPANY LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46,73.913043,10.739130
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,42,0,0,7.142857,57.142857,19.047619,4.761905,2.380952,9.523810,0.000000,0.000000,0.000000,0.000000,0.000000,9.857143,0,0.000000,0.000000
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,MANCHESTER,FLYBE LTD,S,240,0,4,2.459016,45.081967,39.754098,2.459016,2.459016,6.147541,0.000000,0.000000,0.000000,0.000000,1.639344,9.012500,250,79.687500,11.476000
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,NEWCASTLE,FLYBE LTD,S,57,0,68,0.000000,20.000000,10.400000,5.600000,4.000000,4.800000,0.000000,0.800000,0.000000,0.000000,54.400000,21.017544,64,52.564103,27.500000
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,NORWICH,BMI REGIONAL,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36,73.684211,11.138889
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,NORWICH,FLYBE LTD,S,121,0,12,13.533835,39.097744,20.300752,7.518797,4.511278,3.759398,2.255639,0.000000,0.000000,0.000000,9.022556,13.000000,103,56.800000,19.660194
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,8,0,25,12.121212,9.090909,3.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.757576,1.375000,139,49.112426,46.316547
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,204,0,4,12.980769,55.288462,15.384615,5.769231,2.403846,2.884615,3.365385,0.000000,0.000000,0.000000,1.923077,10.897059,230,78.111588,11.843478
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,FLYBE LTD,S,8,0,0,0.000000,25.000000,12.500000,12.500000,25.000000,12.500000,12.500000,0.000000,0.000000,0.000000,0.000000,45.125000,69,65.517241,10.797101
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,STORNOWAY,FLYBE LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40,65.000000,31.925000
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,FLYBE LTD,S,90,0,12,9.803922,43.137255,22.549020,3.921569,5.882353,2.941176,0.000000,0.000000,0.000000,0.000000,11.764706,8.000000,68,33.636364,38.720588
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112,81.102362,5.437500
30/06/2022 17:59,201902,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,FLYBE LTD,S,66,0,4,2.857143,45.714286,21.428571,1.428571,10.000000,10.000000,2.857143,0.000000,0.000000,0.000000,5.714286,19.696970,79,51.685393,41.164557
30/06/2022 17:59,201902,ABERDEEN,DENMARK,BILLUND,DANISH AIR TRANSPORT,S,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0,0.000000,0.000000
30/06/2022 17:59,201902,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,42,0,0,4.761905,57.142857,26.190476,2.380952,4.761905,4.761905,0.000000,0.000000,0.000000,0.000000,0.000000,7.095238,47,83.333333,8.936170
30/06/2022 17:59,201902,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,S,18,0,8,19.230769,15.384615,26.923077,3.846154,0.000000,0.000000,0.000000,3.846154,0.000000,0.000000,30.769231,15.444444,40,70.000000,28.450000
30/06/2022 17:59,201902,ABERDEEN,DENMARK,ESBJERG,DANISH AIR TRANSPORT,S,5,0,0,0.000000,40.000000,40.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0,0.000000,0.000000
30/06/2022 17:59,201902,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,S,112,0,0,7.142857,53.571429,25.000000,9.821429,3.571429,0.892857,0.000000,0.000000,0.000000,0.000000,0.000000,5.946429,125,59.333333,14.264000
30/06/2022 17:59,201902,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111,83.035714,11.153153
30/06/2022 17:59,201902,ABERDEEN,ICELAND,KEFLAVIK,FLUGFELAG ISLANDS(AIR ICELAND),S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,62.500000,30.312500
30/06/2022 17:59,201902,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,76,0,0,15.789474,64.473684,17.105263,0.000000,2.631579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.763158,78,88.750000,3.346154
30/06/2022 17:59,201902,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,124,0,3,3.149606,59.842520,29.921260,1.574803,0.787402,1.574803,0.787402,0.000000,0.000000,0.000000,2.362205,4.645161,117,84.375000,5.393162
30/06/2022 17:59,201902,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,80,0,0,2.500000,65.000000,23.750000,2.500000,6.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.350000,104,87.500000,6.750000
30/06/2022 17:59,201902,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,82,0,6,2.272727,55.681818,28.409091,3.409091,3.409091,0.000000,0.000000,0.000000,0.000000,0.000000,6.818182,3.365854,81,62.500000,26.901235
